Fertilizer added cubic feet),Fertilizer (cubic_feet),Mulch added (inches),Mulch (inches),Rain(gallons),Watering(gallons),Nutrition Lvl %,Moisture %,Sun/TempF,Weekly Yield (lbs of berries)
0,0,6,6,0.86,10,75,75,49,43
0,0,0,5.85,0.87,,79,78,50,45
0,0,0,5.7,0.88,10,82,77,52,41
0,0,0,5.55,0.87,,86,79,53,51
0,0,0,5.4,0.86,10,89,79,54,57
0,0,0,5.25,0.83,,91,81,55,51
0,0,0,5.1,0.81,10,94,80,57,58
0,0,0,4.95,0.78,,96,82,58,68
0,0,0,4.8,0.74,10,98,81,60,64
0,0,0,4.65,0.7,,99,83,61,75
0,0,0,4.5,0.66,10,100,82,63,78
0,0,0,4.35,0.62,,100,84,65,81
0,0,0,4.2,0.57,10,100,82,66,83
0,0,0,4.05,0.53,,100,84,68,86
0,0,0,3.9,0.48,10,99,82,70,83
0,0,0,3.75,0.43,,98,83,71,89
0,0,0,3.6,0.38,10,97,82,73,100
0,0,0,3.45,0.34,,94,83,75,96
0,0,0,3.3,0.29,10,92,81,76,93
0,0,0,3.15,0.25,,89,81,78,89
0,0,0,3,0.21,10,86,79,79,86
0,0,0,2.85,0.17,,84,80,81,93
0,0,0,2.7,0.13,10,80,77,82,83
0,0,0,2.55,0.1,,77,77,83,85
0,0,0,2.4,0.07,10,74,75,85,86
0,0,0,2.25,0.05,,70,75,86,74
0,0,4,6.1,0.03,10,67,72,87,77
0,0,0,5.95,0.01,,67,74,88,77
0,0,0,5.8,0,10,68,73,88,78
0,0,0,5.65,-0.01,,68,75,89,80
0,0,0,5.5,-0.01,10,68,75,89,73
0,0,0,5.35,-0.01,,69,76,90,77
0,0,0,5.2,-0.01,10,69,76,90,82
0,0,0,5.05,0,,69,77,90,77
0,0,0,4.9,0.02,10,69,76,90,72
0,0,0,4.75,0.04,,70,77,89,84
0,0,0,4.6,0.07,10,69,76,89,75
0,0,0,4.45,0.1,,70,77,88,85
0,0,0,4.3,0.13,10,69,76,87,80
0,0,0,4.15,0.17,,69,77,86,86
0,0,0,4,0.22,10,69,75,84,84
0,0,0,3.85,0.26,,68,76,83,89
0,0,0,3.7,0.32,10,67,74,81,82
0,0,0,3.55,0.37,,66,75,78,79
0,0,0,3.4,0.43,10,66,73,76,82
0,0,0,3.25,0.5,,64,74,73,79
0,0,0,3.1,0.56,10,63,72,70,69
0,0,0,2.95,0.63,,62,72,67,75
0,0,0,2.8,0.7,10,60,70,63,65
0,0,0,2.65,0.78,,60,71,59,56
0,0,0,2.5,0.85,10,59,69,55,48
0,0,0,2.35,0.93,,59,70,51,35
0,0,6,6,1.07,10,75,75,59,57
0,0,0,5.92,1.09,,77,77,50,42
0,0,0,5.85,1.09,10,81,77,52,41
0,0,0,5.77,1.09,,85,79,53,48
0,0,0,5.69,1.07,10,88,79,54,53
0,0,0,5.62,1.04,,91,81,55,57
0,0,0,5.54,1.01,10,93,80,57,58
0,0,0,5.46,0.97,,95,82,58,63
0,0,0,5.38,0.93,10,97,82,60,75
0,0,0,5.31,0.88,,98,84,61,67
0,0,0,5.23,0.83,10,99,83,63,83
0,0,0,5.15,0.77,,99,85,65,76
0,0,0,5.08,0.71,10,99,84,66,82
0,0,0,5,0.65,,99,86,68,78
0,0,0,4.92,0.59,10,99,85,70,79
0,0,0,4.85,0.53,,99,87,71,83
0,0,0,4.77,0.47,10,99,86,73,86
0,0,0,4.69,0.41,,98,87,75,94
0,0,0,4.62,0.35,10,97,86,76,90
0,0,0,4.54,0.29,,96,87,78,98
0,0,0,4.46,0.24,10,94,86,79,93
0,0,0,4.38,0.19,,93,87,81,82
0,0,0,4.31,0.14,10,93,86,82,91
0,0,0,4.23,0.1,,91,87,83,90
0,0,0,4.15,0.06,10,90,86,85,87
0,0,0,4.08,0.03,,90,86,86,83
0,0,4,4,0,10,89,85,87,84
0,0,0,3.92,-0.02,,89,86,88,85
0,0,0,3.85,-0.04,10,88,84,88,81
0,0,0,3.77,-0.05,,88,84,89,85
0,0,0,3.69,-0.06,10,87,82,89,89
0,0,0,3.62,-0.06,,85,83,90,81
0,0,0,3.54,-0.05,10,85,81,90,85
0,0,0,3.46,-0.04,,83,81,90,86
0,0,0,3.38,-0.02,10,81,79,90,84
0,0,0,3.31,0,,80,79,89,80
0,0,0,3.23,0.03,10,78,77,89,85
0,0,0,3.15,0.07,,76,77,88,91
0,0,0,3.08,0.11,10,74,75,87,87
0,0,0,3,0.16,,71,75,86,81
0,0,0,2.92,0.22,10,69,73,84,74
0,0,0,2.85,0.28,,67,73,83,87
0,0,0,2.77,0.34,10,64,71,81,79
0,0,0,2.69,0.42,,62,71,78,73
0,0,0,2.62,0.49,10,60,68,76,73
0,0,0,2.54,0.57,,58,69,73,66
0,0,0,2.46,0.66,10,57,66,70,61
0,0,0,2.38,0.75,,55,67,67,52
0,0,0,2.31,0.84,10,55,64,63,60
0,0,0,2.23,0.93,,54,65,59,46
0,0,0,2.15,1.03,10,53,63,55,37
0,0,0,2.08,1.13,,54,64,51,27
0,0,6,6,0.01,10,75,75,60,66
0,0,0,5.85,-0.01,,76,77,50,45
0,0,0,5.7,-0.02,10,80,77,52,42
0,0,0,5.55,-0.03,,84,79,53,48
0,0,0,5.4,-0.02,10,87,79,54,46
0,0,0,5.25,-0.01,,90,81,55,59
0,0,0,5.1,0,10,92,80,57,56
0,0,0,4.95,0.02,,95,82,58,65
0,0,0,4.8,0.04,10,96,81,60,72
0,0,0,4.65,0.06,,97,83,61,78
0,0,0,4.5,0.09,10,97,82,63,77
0,0,0,4.35,0.11,,98,83,65,83
0,0,0,4.2,0.14,10,97,82,66,80
0,0,0,4.05,0.16,,97,83,68,83
0,0,0,3.9,0.18,10,97,82,70,90
0,0,0,3.75,0.21,,96,83,71,92
0,0,0,3.6,0.23,10,94,82,73,92
0,0,0,3.45,0.25,,92,82,75,100
0,0,0,3.3,0.26,10,89,81,76,95
0,0,0,3.15,0.27,,86,81,78,90
0,0,0,3,0.28,10,83,79,79,87
0,0,0,2.85,0.29,,81,79,81,91
0,0,0,2.7,0.29,10,77,77,82,79
0,0,0,2.55,0.29,,75,77,83,88
0,0,0,2.4,0.29,10,71,75,85,82
0,0,0,2.25,0.28,,68,74,86,77
0,0,4,6.1,0.27,10,65,72,87,76
0,0,0,5.95,0.26,,65,74,88,76
0,0,0,5.8,0.25,10,65,73,88,74
0,0,0,5.65,0.23,,66,75,89,73
0,0,0,5.5,0.21,10,67,74,89,76
0,0,0,5.35,0.19,,67,76,90,77
0,0,0,5.2,0.17,10,67,75,90,75
0,0,0,5.05,0.15,,68,77,90,74
0,0,0,4.9,0.12,10,68,76,90,80
0,0,0,4.75,0.1,,68,77,89,81
0,0,0,4.6,0.08,10,68,76,89,73
0,0,0,4.45,0.07,,69,77,88,78
0,0,0,4.3,0.05,10,69,75,87,81
0,0,0,4.15,0.04,,69,76,86,79
0,0,0,4,0.03,10,69,75,84,83
0,0,0,3.85,0.03,,69,75,83,83
0,0,0,3.7,0.04,10,68,74,81,83
0,0,0,3.55,0.05,,67,74,78,73
0,0,0,3.4,0.08,10,67,73,76,81
0,0,0,3.25,0.11,,66,73,73,75
0,0,0,3.1,0.15,10,65,71,70,74
0,0,0,2.95,0.21,,64,72,67,65
0,0,0,2.8,0.28,10,63,70,63,60
0,0,0,2.65,0.36,,63,71,59,53
0,0,0,2.5,0.47,10,63,69,55,49
0,0,0,2.35,0.59,,63,70,51,32
1,1,,0,0.86,30,75,75,49,40
0,0.92,,0,0.87,,78,83,50,46
0,0.85,,0,0.88,30,80,80,52,49
0,0.77,,0,0.87,,83,85,53,52
0,0.69,,0,0.86,30,84,82,54,54
0,0.62,,0,0.83,,86,87,55,62
0,0.54,,0,0.81,30,87,84,57,59
0,0.46,,0,0.78,,88,89,58,59
0,0.38,,0,0.74,30,89,86,60,64
0,0.31,,0,0.7,,90,91,61,65
0,0.23,,0,0.66,30,90,87,63,66
0,0.15,,0,0.62,,90,92,65,74
0,0.08,,0,0.57,30,90,89,66,78
1,1,,0,0.53,,89,93,68,76
0,0.92,,0,0.48,30,89,89,70,78
0,0.85,,0,0.43,,88,93,71,82
0,0.77,,0,0.38,30,87,90,73,86
0,0.69,,0,0.34,,85,94,75,76
0,0.62,,0,0.29,30,84,90,76,87
0,0.54,,0,0.25,,83,94,78,75
0,0.46,,0,0.21,30,82,90,79,83
0,0.38,,0,0.17,,81,93,81,90
0,0.31,,0,0.13,30,79,89,82,86
0,0.23,,0,0.1,,77,93,83,83
0,0.15,,0,0.07,30,76,88,85,74
0,0.08,,0,0.05,,76,92,86,79
1,1,,0,0.03,30,75,87,87,79
0,0.92,,0,0.01,,74,91,88,78
0,0.85,,0,0,30,73,86,88,79
0,0.77,,0,-0.01,,72,89,89,81
0,0.69,,0,-0.01,30,71,85,89,80
0,0.62,,0,-0.01,,70,88,90,73
0,0.54,,0,-0.01,30,70,83,90,71
0,0.46,,0,0,,70,86,90,76
0,0.38,,0,0.02,30,69,82,90,83
0,0.31,,0,0.04,,68,85,89,83
0,0.23,,0,0.07,30,66,80,89,68
0,0.15,,0,0.1,,67,84,88,70
1,1.08,,0,0.13,30,67,79,87,76
0,1,,0,0.17,,66,82,86,82
0,0.92,,0,0.22,30,65,78,84,84
0,0.85,,0,0.26,,63,81,83,81
0,0.77,,0,0.32,30,62,77,81,75
0,0.69,,0,0.37,,62,81,78,73
0,0.62,,0,0.43,30,62,77,76,80
0,0.54,,0,0.5,,61,80,73,70
0,0.46,,0,0.56,30,61,77,70,78
0,0.38,,0,0.63,,60,81,67,70
0,0.31,,0,0.7,30,60,77,63,62
0,0.23,,0,0.78,,61,82,59,58
0,0.15,,0,0.85,30,62,79,55,53
0,0.08,,0,0.93,,63,83,51,43
1,1,,0,1.07,30,75,75,59,55
0,0.92,,0,1.09,,77,80,50,44
0,0.85,,0,1.09,30,79,77,52,44
0,0.77,,0,1.09,,82,82,53,48
0,0.69,,0,1.07,30,84,79,54,53
0,0.62,,0,1.04,,86,84,55,57
0,0.54,,0,1.01,30,87,81,57,64
0,0.46,,0,0.97,,88,86,58,63
0,0.38,,0,0.93,30,88,83,60,70
0,0.31,,0,0.88,,88,88,61,67
0,0.23,,0,0.83,30,89,85,63,70
0,0.15,,0,0.77,,89,89,65,76
0,0.08,,0,0.71,30,88,86,66,78
1,1,,0,0.65,,87,90,68,73
0,0.92,,0,0.59,30,87,86,70,78
0,0.85,,0,0.53,,86,90,71,76
0,0.77,,0,0.47,30,85,87,73,83
0,0.69,,0,0.41,,84,91,75,83
0,0.62,,0,0.35,30,83,87,76,91
0,0.54,,0,0.29,,81,91,78,85
0,0.46,,0,0.24,30,79,87,79,89
0,0.38,,0,0.19,,77,90,81,82
0,0.31,,0,0.14,30,76,86,82,84
0,0.23,,0,0.1,,75,90,83,86
0,0.15,,0,0.06,30,73,85,85,80
0,0.08,,0,0.03,,72,89,86,72
1,1,,0,0,30,72,84,87,81
0,0.92,,0,-0.02,,71,88,88,77
0,0.85,,0,-0.04,30,70,83,88,74
0,0.77,,0,-0.05,,70,86,89,68
0,0.69,,0,-0.06,30,70,82,89,75
0,0.62,,0,-0.06,,69,85,90,74
0,0.54,,0,-0.05,30,69,80,90,80
0,0.46,,0,-0.04,,68,83,90,70
0,0.38,,0,-0.02,30,68,79,90,83
0,0.31,,0,0,,67,82,89,78
0,0.23,,0,0.03,30,66,78,89,80
0,0.15,,0,0.07,,65,81,88,78
1,1.08,,0,0.11,30,64,76,87,77
0,1,,0,0.16,,63,79,86,73
0,0.92,,0,0.22,30,63,75,84,82
0,0.85,,0,0.28,,62,78,83,78
0,0.77,,0,0.34,30,61,74,81,85
0,0.69,,0,0.42,,60,78,78,71
0,0.62,,0,0.49,30,60,74,76,73
0,0.54,,0,0.57,,59,77,73,75
0,0.46,,0,0.66,30,59,74,70,70
0,0.38,,0,0.75,,59,78,67,68
0,0.31,,0,0.84,30,59,74,63,58
0,0.23,,0,0.93,,60,79,59,60
0,0.15,,0,1.03,30,61,76,55,47
0,0.08,,0,1.13,,63,81,51,33
1,1,,0,0.01,30,75,75,60,60
0,0.92,,0,-0.01,,76,79,50,47
0,0.85,,0,-0.02,30,78,77,52,49
0,0.77,,0,-0.03,,80,82,53,51
0,0.69,,0,-0.02,30,82,79,54,55
0,0.62,,0,-0.01,,84,84,55,57
0,0.54,,0,0,30,85,81,57,58
0,0.46,,0,0.02,,86,86,58,60
0,0.38,,0,0.04,30,87,83,60,71
0,0.31,,0,0.06,,87,88,61,69
0,0.23,,0,0.09,30,87,84,63,76
0,0.15,,0,0.11,,87,89,65,72
0,0.08,,0,0.14,30,87,86,66,83
1,1,,0,0.16,,85,90,68,79
0,0.92,,0,0.18,30,84,86,70,77
0,0.85,,0,0.21,,84,90,71,86
0,0.77,,0,0.23,30,82,87,73,82
0,0.69,,0,0.25,,81,91,75,74
0,0.62,,0,0.26,30,80,87,76,87
0,0.54,,0,0.27,,79,91,78,81
0,0.46,,0,0.28,30,78,87,79,85
0,0.38,,0,0.29,,76,90,81,86
0,0.31,,0,0.29,30,75,86,82,78
0,0.23,,0,0.29,,74,90,83,83
0,0.15,,0,0.29,30,72,85,85,86
0,0.08,,0,0.28,,71,89,86,76
1,1,,0,0.27,30,70,84,87,83
0,0.92,,0,0.26,,69,88,88,75
0,0.85,,0,0.25,30,68,83,88,76
0,0.77,,0,0.23,,68,86,89,78
0,0.69,,0,0.21,30,67,82,89,72
0,0.62,,0,0.19,,67,85,90,77
0,0.54,,0,0.17,30,66,80,90,74
0,0.46,,0,0.15,,66,83,90,75
0,0.38,,0,0.12,30,65,79,90,79
0,0.31,,0,0.1,,64,82,89,70
0,0.23,,0,0.08,30,64,77,89,72
0,0.15,,0,0.07,,64,81,88,80
1,1.08,,0,0.05,30,63,76,87,76
0,1,,0,0.04,,63,79,86,76
0,0.92,,0,0.03,30,62,75,84,79
0,0.85,,0,0.03,,61,78,83,78
0,0.77,,0,0.04,30,60,74,81,78
0,0.69,,0,0.05,,59,78,78,76
0,0.62,,0,0.08,30,59,74,76,72
0,0.54,,0,0.11,,59,77,73,81
0,0.46,,0,0.15,30,58,74,70,73
0,0.38,,0,0.21,,57,78,67,69
0,0.31,,0,0.28,30,57,74,63,60
0,0.23,,0,0.36,,58,79,59,60
0,0.15,,0,0.47,30,59,76,55,48
0,0.08,,0,0.59,,62,80,51,34
0.5,0.5,4,4,0.86,10,75,75,49,39
0,0.42,0,3.85,0.87,10,86,78,50,40
0,0.35,0,3.7,0.88,10,97,79,52,49
0,0.27,0,3.55,0.87,10,100,80,53,52
0,0.19,0,3.4,0.86,10,100,82,54,51
0,0.12,0,3.25,0.83,10,100,83,55,56
0,0.04,0,3.1,0.81,10,100,84,57,60
0,0,0,2.95,0.78,10,100,85,58,71
0,0,0,2.8,0.74,10,99,86,60,66
0,0,0,2.65,0.7,10,98,86,61,73
0,0,0,2.5,0.66,10,96,87,63,78
0,0,0,2.35,0.62,10,93,88,65,79
0,0,0,2.2,0.57,10,90,88,66,80
0.5,0.5,0,2.05,0.53,10,86,88,68,78
0,0.42,0,1.9,0.48,15,90,88,70,81
0,0.35,0,1.75,0.43,15,92,90,71,87
0,0.27,0,1.6,0.38,15,94,91,73,86
0,0.19,0,1.45,0.34,15,96,92,75,85
0,0.12,0,1.3,0.29,15,97,93,76,81
0,0.04,0,1.15,0.25,15,99,93,78,80
0,0,0,1,0.21,15,100,94,79,82
0,0,0,0.85,0.17,15,94,94,81,86
0,0,0,0.7,0.13,20,87,94,82,80
0,0,0,0.55,0.1,20,80,96,83,82
0,0,0,0.4,0.07,20,73,97,85,72
0,0,0,0.25,0.05,20,67,98,86,66
0.5,0.5,0,0.1,0.03,20,61,99,87,63
0,0.42,0,0,0.01,20,61,100,88,61
0,0.35,0,0,0,20,62,100,88,62
0,0.27,0,0,-0.01,20,63,101,89,65
0,0.19,0,0,-0.01,25,64,101,89,61
0,0.12,0,0,-0.01,25,65,103,90,53
0,0.04,0,0,-0.01,25,66,105,90,57
0,0,0,0,0,25,68,107,90,50
0,0,0,0,0.02,25,63,108,90,46
0,0,0,0,0.04,20,58,110,89,43
0,0,0,0,0.07,20,54,111,89,33
0,0,0,0,0.1,20,50,111,88,38
0.5,0.5,0,0,0.13,20,47,112,87,36
0,0.42,0,0,0.17,20,50,113,86,34
0,0.35,0,0,0.22,20,54,113,84,35
0,0.27,0,0,0.26,20,57,114,83,31
0,0.19,0,0,0.32,20,61,115,81,39
0,0.12,0,0,0.37,15,64,116,78,46
0,0.04,0,0,0.43,15,66,116,76,49
0,0,0,0,0.5,15,69,116,73,39
0,0,0,0,0.56,15,65,116,70,39
0,0,0,0,0.63,10,61,116,67,33
0,0,0,0,0.7,10,57,115,63,33
0,0,0,0,0.78,10,54,114,59,21
0,0,0,0,0.85,10,52,114,55,30
0,0,0,0,0.93,10,49,114,51,13
0,0,4,4,1.07,20,75,75,59,53
0,0,,3.92,1.09,,78,79,50,50
0,0,,3.85,1.09,,81,78,52,45
0,0,,3.77,1.09,,84,77,53,52
0,0,,3.69,1.07,20,86,76,54,53
0,0,,3.62,1.04,,88,79,55,65
0,0,,3.54,1.01,,89,78,57,59
0,0,,3.46,0.97,,90,77,58,63
0,0,,3.38,0.93,20,91,75,60,64
0,0,,3.31,0.88,,91,79,61,71
0,0,,3.23,0.83,,91,77,63,71
0,0,,3.15,0.77,,90,76,65,70
0,0,,3.08,0.71,20,89,74,66,79
0,0,,3,0.65,,88,77,68,75
0,0,,2.92,0.59,,86,75,70,85
0,0,,2.85,0.53,,83,73,71,85
0,0,,2.77,0.47,20,81,71,73,86
0,0,,2.69,0.41,,77,74,75,75
0,0,,2.62,0.35,,75,72,76,88
0,0,,2.54,0.29,,72,70,78,82
0,0,,2.46,0.24,20,69,67,79,83
0,0,,2.38,0.19,,65,70,81,86
0,0,,2.31,0.14,,61,67,82,77
0,0,,2.23,0.1,,58,64,83,63
0,0,,2.15,0.06,20,57,62,85,66
0,0,,2.08,0.03,,54,64,86,60
0,0,,2,0,,52,61,87,58
0,0,,1.92,-0.02,,51,58,88,55
0,0,,1.85,-0.04,20,49,55,88,46
0,0,,1.77,-0.05,,48,57,89,48
0,0,,1.69,-0.06,,47,53,89,48
0,0,,1.62,-0.06,,45,50,90,32
0,0,,1.54,-0.05,20,45,47,90,31
0,0,,1.46,-0.04,,45,48,90,33
0,0,,1.38,-0.02,,45,45,90,37
0,0,,1.31,0,,44,41,89,26
0,0,,1.23,0.03,20,44,37,89,22
0,0,,1.15,0.07,,44,39,88,19
0,0,,1.08,0.11,,45,35,87,18
0,0,8,9,0.16,,45,32,86,13
0,0,,8.92,0.22,20,52,31,84,17
0,0,,8.85,0.28,,58,36,83,21
0,0,,8.77,0.34,,64,35,81,23
0,0,,8.69,0.42,,70,35,78,27
0,0,,8.62,0.49,20,75,34,76,22
0,0,,8.54,0.57,,81,39,73,32
0,0,,8.46,0.66,,86,39,70,30
0,0,,8.38,0.75,,91,38,67,35
0,0,,8.31,0.84,20,95,38,63,28
0,0,,8.23,0.93,,100,43,59,32
0,0,,8.15,1.03,,100,42,55,23
0,0,,8.08,1.13,,100,42,51,17
0.5,0.5,4,4,0.01,5,75,75,60,64
0,0.42,0,3.85,-0.01,,84,75,50,49
0,0.35,0,3.7,-0.02,5,93,74,52,44
0,0.27,0,3.55,-0.03,,100,74,53,48
0,0.19,0,3.4,-0.02,5,100,73,54,54
0,0.12,0,3.25,-0.01,,100,73,55,56
0,0.04,0,3.1,0,5,100,71,57,66
0,0,0,2.95,0.02,,100,71,58,61
0,0,0,2.8,0.04,5,100,69,60,65
0,0,0,2.65,0.06,,99,69,61,68
0,0,0,2.5,0.09,5,97,67,63,69
0,0,0,2.35,0.11,,96,66,65,66
0,0,2,4.2,0.14,5,94,64,66,73
0.5,0.5,0,4.05,0.16,,94,64,68,67
0,0.42,0,3.9,0.18,5,100,63,70,79
0,0.35,0,3.75,0.21,,100,63,71,81
0,0.27,0,3.6,0.23,5,100,61,73,79
0,0.19,0,3.45,0.25,,100,61,75,78
0,0.12,0,3.3,0.26,5,100,59,76,72
0,0.04,0,3.15,0.27,,100,58,78,72
0,0,0,3,0.28,5,100,56,79,70
0,0,0,2.85,0.29,,99,55,81,70
0,0,0,2.7,0.29,5,98,53,82,56
0,0,0,2.55,0.29,,98,52,83,64
0,0,2,4.4,0.29,5,96,49,85,63
0,0,0,4.25,0.28,,98,49,86,59
0.5,0.5,0,4.1,0.27,5,100,48,87,52
0,0.42,0,3.95,0.26,,100,47,88,43
0,0.35,0,3.8,0.25,5,100,45,88,51
0,0.27,0,3.65,0.23,,100,45,89,48
0,0.19,0,3.5,0.21,5,100,43,89,37
0,0.12,0,3.35,0.19,,100,42,90,38
0,0.04,0,3.2,0.17,5,100,40,90,37
0,0,0,3.05,0.15,,100,38,90,42
0,0,0,2.9,0.12,5,100,36,90,33
0,0,0,2.75,0.1,,100,35,89,21
0,0,0,2.6,0.08,5,100,32,89,32
0,0,2,4.45,0.07,,100,31,88,28
0.5,0.5,0,4.3,0.05,5,100,29,87,27
0,0.42,0,4.15,0.04,,100,29,86,30
0,0.35,0,4,0.03,5,100,27,84,23
0,0.27,0,3.85,0.03,,100,27,83,18
0,0.19,0,3.7,0.04,5,100,25,81,17
0,0.12,0,3.55,0.05,,100,25,78,16
0,0.04,0,3.4,0.08,5,100,23,76,10
0,0,0,3.25,0.11,,100,22,73,8
0,0,0,3.1,0.15,5,100,20,70,15
0,0,0,2.95,0.21,,100,20,67,17
0,0,0,2.8,0.28,5,100,18,63,10
0,0,0,2.65,0.36,,100,17,59,9
0,0,0,2.5,0.47,5,100,15,55,4
0,0,0,2.35,0.59,,100,15,51,3
