,Input Column:,Input Column:,Input Column:,National Weather Services,National Weather Services
Week,Fertilizer added (cubic feet),"Mulch added 
(inches)","Watering
(gallons)","Rain Forecast
(gallons)","Sun/Temp Forecast
(F)"
1,,,,1.07,59
2,,,,1.09,50
3,,,,1.09,52
4,,,,1.09,53
5,,,,2.00,45
6,,,,1.00,40
7,,,,0.50,35
8,,,,0.25,48
9,,,,3.00,55
10,,,,5.00,61
11,,,,0.83,63
12,,,,0.77,65
13,,,,0.71,66
14,,,,2.00,68
15,,,,0.59,70
16,,,,0.53,71
17,,,,0.47,73
18,,,,0.41,75
19,,,,0.35,76
20,,,,0.29,78
21,,,,0.24,79
22,,,,0.19,81
23,,,,0.14,82
24,,,,0.10,83
25,,,,0.06,85
26,,,,0.03,86
27,,,,-0.00,87
28,,,,0.00,88
29,,,,0.00,88
30,,,,0.00,89
31,,,,0.00,89
32,,,,0.00,90
33,,,,0.00,90
34,,,,0.00,90
35,,,,0.00,90
36,,,,0.00,89
37,,,,0.03,89
38,,,,0.07,88
39,,,,0.11,87
40,,,,0.16,86
41,,,,0.22,84
42,,,,0.28,83
43,,,,0.34,81
44,,,,0.42,78
45,,,,0.49,76
46,,,,0.57,73
47,,,,0.66,70
48,,,,0.75,67
49,,,,0.84,63
50,,,,0.93,59
51,,,,1.03,55
52,,,,1.13,51